sku,name,inv,ean,erli_pln,bl_retail_pln,multistore_pln,erli_vs_bl_pct,erli_vs_multistore_pct,flags,stock
10,Pokrywa osłona plandeka na basen 305 cm INTEX 28021,MultiStore,6941057403946,27.0,27.0,27.0,100%,100%,LOSS,0
100,Zestaw do czyszczenia basenów odkurzacz wodny siatka szczotka INTEX 28003,MultiStore,6941057403915,125.0,125.0,125.0,100%,100%,LOSS,26
1004,NAMIOT DLA DZIECI DO ZABAWY NAMOCIK DOMEK KOSMOS HOPLA TOYS,MultiStore,6958868881931,34.0,34.0,34.0,100%,100%,LOSS,317
1005,NAMIOT DLA DZIECI DO ZABAWY NAMIOCIK TĘCZA HOPLA TOYS,MultiStore,6958868881924,35.0,35.0,35.0,100%,100%,LOSS,230
102,Zestaw czyszczący do czyszczenia basenów z odkurzaczem wodnym INTEX 28002,MultiStore,6941057420028,45.0,45.0,45.0,100%,100%,LOSS,0
1020,DREWNIANA KUCHNIA DLA DZIECI ZE ŚWIATŁEM I DŹWIĘKIEM POLECANA HOPLA TOYS,MultiStore,5903089066170,175.0,175.0,175.0,100%,100%,LOSS,90
103,Dozownik pojemnik do chloru chemii do basenu INTEX 29041,MultiStore,6941057404561,16.0,16.0,16.0,100%,100%,LOSS,0
1053,Skrzynka na listy stal galwanizowana antracyt ModernHome,MultiStore,5903089068792,69.0,69.0,69.0,100%,100%,LOSS,0
1054,Skrzynka na listy z gazetownikiem stal galwanizowana ModernHome,MultiStore,5903089067122,50.0,50.0,50.0,100%,100%,LOSS,0
1057,Skrzynka na listy z gazetownikiem stalowa ścienna galwanizowana ModenrHome,MultiStore,5903089067092,47.0,47.0,47.0,100%,100%,LOSS,0
1059,Fotel bujany regulowany podnóżek biało czarny ModernHome,MultiStore,5903089066781,280.0,280.0,280.0,100%,100%,LOSS,32
1080,Namiot pawilon ogrodowy eventowy na piknik + torba szary MultiGarden,MultiStore,5903089067641,230.0,230.0,230.0,100%,100%,LOSS,0
1110,Szafka na pralkę łazienkowa biała szafka z półkami 183 cm ModernHome,MultiStore,5903089067887,199.0,199.0,199.0,100%,100%,LOSS,74
1151,Leżanka ogrodowa z dużym owalnym daszkiem MultiGarden,MultiStore,5905817001125,399.0,399.0,399.0,100%,100%,LOSS,0
1158,Nowoczesny stolik kawowy półka drewniane nogi biały ModernHome,MultiStore,5903089066903,190.0,190.0,190.0,100%,100%,LOSS,200
1162,Pokrywa osłona na basen stelażowy 457 cm INTEX 28032,MultiStore,6941057403984,53.0,53.0,53.0,100%,100%,LOSS,0
1168,Pompka nożna do materaca 3 końcówki INTEX 69611,MultiStore,6941057466118,15.0,15.0,15.0,100%,100%,LOSS,0
1169,Leżak ogrodowy plażowy regulacja oparcia ruchomy daszek MultiGarden - czarny,MultiStore,5903089067467,125.0,125.0,125.0,100%,100%,LOSS,0
1170,Filtr filtry 6 sztuk typ B do pompy INTEX 29005,MultiStore,5903769976263,87.0,87.0,87.0,100%,100%,LOSS,0
1192,Pompa piaskowa filtrująca do basenów 4500 L/h INTEX 26644,MultiStore,6941057413884,459.0,459.0,459.0,100%,100%,LOSS,0
12,Pokrywa osłona plandeka na basen 305x183 cm INTEX 58412,MultiStore,6941057402604,24.0,24.0,24.0,100%,100%,LOSS,0
1201,Materac dmuchany dwuosobowy 203x183 cm welurowy INTEX 64755,MultiStore,6941057412429,60.0,60.0,60.0,100%,100%,LOSS,0
1202,Pokrywa do basenu stelażowego 300x200 cm INTEX 28038,MultiStore,6941057404011,36.0,36.0,36.0,100%,100%,LOSS,0
1204,Materac dmuchany dwuosobowy welurowy 191x137 cm INTEX 64758,MultiStore,6941057412450,45.0,45.0,45.0,100%,100%,LOSS,0
1239,STOLIK Z DWOMA KRZESŁAMI ZESTAW MEBLI DLA DZIECI KOLOROWA HOPLA TOYS,MultiStore,5903089068716,230.0,230.0,230.0,100%,100%,LOSS,238
1254,ZABAWKA DLA DZIECI DREWNIANA METALOWE STRUNY KOSTKA RÓŻOWA HOPLA TOYS,MultiStore,5903089068723,49.0,49.0,49.0,100%,100%,LOSS,0
1259,NAMIOT DLA DZIECI WARSZTAT SAMOCHODOWY NAMIOCIK MECHANIKA HOPLA TOYS,MultiStore,6958868881740,51.0,51.0,51.0,100%,100%,LOSS,0
1261,NAMIOT DLA DZIECI INDIAŃSKI TIPI WIGWAM DOMEK HOPLA TOYS,MultiStore,6958868887070,27.0,27.0,27.0,100%,100%,LOSS,159
1266,Wieszak stojący stojak na kółkach z 2 półkami na ubrania buty ModernHome,MultiStore,5903089068846,75.0,75.0,75.0,100%,100%,LOSS,0
1276,Krzesło obrotowe biurowe z podnośnikiem poduszką chromowane nogi czarne ModernHo,MultiStore,5903769976027,125.0,125.0,125.0,100%,100%,LOSS,0
1278,DREWNIANA KUCHNIA DLA DZIECI Z PIEKARNIKIEM + AKCESORIA HOPLA TOYS,MultiStore,5903769971527,130.0,130.0,130.0,100%,100%,LOSS,0
1289,DOMEK DLA LALEK DREWNIANY 3 PIĘTRA XXL REZYDENCJA PUDROWA HOPLA TOYS,MultiStore,5903089068860,439.0,439.0,439.0,100%,100%,LOSS,33
1327,Mini kuchnia grill akcesoria do kuchni dla dzieci,MultiStore,5903769970278,50.0,50.0,50.0,100%,100%,LOSS,45
1336,Kuchnia dla dzieci dźwięki LED woda generator pary dodatki,MultiStore,5903769970193,89.0,89.0,89.0,100%,100%,LOSS,0
1337,Kasa sklepowa produkty skaner kalkulator dźwięki,MultiStore,5903769970209,55.0,55.0,55.0,100%,100%,LOSS,102
1360,PCHACZ EDUKACYJNY Z KLOCKAMI DLA DZIECI STRAŻ POŻARNA PREMIUM HOPLA TOYS,MultiStore,5903089069942,115.0,115.0,115.0,100%,100%,LOSS,0
1368,Stolik kawowy loft nowoczesny 2 poziomy ModernHome,MultiStore,5903769970346,89.0,89.0,89.0,100%,100%,LOSS,79
1391,ZEGAR HOPLA TOYS,MultiStore,5903089069768,34.0,34.0,34.0,100%,100%,LOSS,346
1393,ZABAWKA EDUKACYJNA 3W1 MAGNETYCZNA KREDOWA LITERKI POLECANA HOPLA TOYS,MultiStore,5903089069805,18.0,18.0,18.0,100%,100%,LOSS,0
1420,DREWNIANA KUCHNIA DLA DZIECI OSOBNE SEGMENTY XXL TABLICA + LED HOPLA TOYS,MultiStore,5903769971480,410.0,410.0,410.0,100%,100%,LOSS,80
1446,MATA PIANKOWA EVA DLA DZIECI LITERY CYFRY 178X178 CM 36 ELEMENTÓ HOPLA TOYS,MultiStore,5903769971022,69.0,69.0,69.0,100%,100%,LOSS,190
1498,Fotel fiński bujany leżanka leżak do salonu ModernHome,MultiStore,5903769979479,240.0,240.0,240.0,100%,100%,LOSS,60
1499,Fotel fiński bujany finka do salonu biały gięta sklejka ModernHome,MultiStore,5903089068587,240.0,240.0,240.0,100%,100%,LOSS,53
1530,Toaletka kosmetyczna nowoczesna duże lustro półki ModernHome,MultiStore,5903769972562,289.0,289.0,289.0,100%,100%,LOSS,15
1531,Biurko komputerowe stół stolik gamingowe szkolne ModernHome,MultiStore,5903769972807,119.0,119.0,119.0,100%,100%,LOSS,0
